basicid,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore
116819,48121020310,All Jobs,All Jobs,-1.0752638803,-1.0326264744
118117,48113016711,All Jobs,All Jobs,-0.2588234091,-0.2474674446
119415,48113016805,All Jobs,All Jobs,-0.5549953649,-0.510729765
120713,48121021723,All Jobs,All Jobs,0.0282600998,-0.0061269078
122011,48113017812,All Jobs,All Jobs,-0.4558566828,-0.42158605390000004
123309,48113011002,All Jobs,All Jobs,-0.0794335838,-0.0948424145
124607,48113007906,All Jobs,All Jobs,1.6251122186,1.4887355975
125905,48113007909,All Jobs,All Jobs,1.7126050037,1.5336260780000002
127203,48113012501,All Jobs,All Jobs,-0.3165791874,-0.2935074393
128501,48113012502,All Jobs,All Jobs,-0.25950546750000003,-0.2459664501
129799,48113012601,All Jobs,All Jobs,-0.1988125306,-0.1741922061
131097,48113018110,All Jobs,All Jobs,-0.6922735503,-0.6090585525000001
132395,48085031722,All Jobs,All Jobs,2.2479057793,2.2014318088
133693,48113013400,All Jobs,All Jobs,2.7533134894,2.8331082337
134991,48113013500,All Jobs,All Jobs,1.4290242167,1.4383920506
136289,48113018505,All Jobs,All Jobs,0.3012649307,0.3409835055
137587,48113013902,All Jobs,All Jobs,1.5096075962,1.635840117
138885,48113014001,All Jobs,All Jobs,1.5850254716,1.689001801
140183,48113014002,All Jobs,All Jobs,2.4321211113,2.7816870568
141481,48113001302,All Jobs,All Jobs,0.6545695274000001,0.5988957833
142779,48113006401,All Jobs,All Jobs,-0.2691127401,-0.2530771314
144077,48113006402,All Jobs,All Jobs,-0.2176428477,-0.202721167
145375,48085030532,All Jobs,All Jobs,-0.0364939338,-0.0923260471
146673,48085030533,All Jobs,All Jobs,-0.0873499584,-0.13990718700000002
147971,48085031641,All Jobs,All Jobs,-0.1106135957,-0.1491481596
149269,48085031723,All Jobs,All Jobs,1.3255072799,1.3386081354
150567,48113000703,All Jobs,All Jobs,1.7689243301,1.5809981695
151865,48113000704,All Jobs,All Jobs,2.3231407645,2.1522986058
153163,48113005000,All Jobs,All Jobs,0.6690287897,0.5607357638
154461,48113006900,All Jobs,All Jobs,0.4491292249,0.4392348632
155759,48113007101,All Jobs,All Jobs,1.1589557069,1.13581098
157057,48113008500,All Jobs,All Jobs,-0.17834913970000002,-0.15453897290000002
158355,48113008604,All Jobs,All Jobs,-0.0343640447,-0.019197631
159653,48113011003,All Jobs,All Jobs,-0.0412136929,-0.0572346155
160951,48113011004,All Jobs,All Jobs,0.2020437557,0.1825317878
162249,48113012603,All Jobs,All Jobs,-0.3622070378,-0.33020980710000003
163547,48113012604,All Jobs,All Jobs,-0.432711789,-0.3829995839
164845,48113013605,All Jobs,All Jobs,1.060205666,1.0545502314
166143,48113014119,All Jobs,All Jobs,0.4592373872,0.5229873437
167441,48113014603,All Jobs,All Jobs,0.6447489756,0.6700847013
168739,48113014701,All Jobs,All Jobs,1.0553775217,1.1008919501
170037,48113016535,All Jobs,All Jobs,0.0870707268,0.1032030033
171335,48113016536,All Jobs,All Jobs,0.0274413352,0.0385267396
172633,48113017204,All Jobs,All Jobs,-0.4778488522,-0.431909778
173931,48113017814,All Jobs,All Jobs,-0.5665547275,-0.5052417084
175229,48113018111,All Jobs,All Jobs,-0.5811216615,-0.5233799156
176527,48113019044,All Jobs,All Jobs,0.0596019968,0.0874732138
177825,48113019045,All Jobs,All Jobs,0.2416718901,0.2800837442
179123,48113019046,All Jobs,All Jobs,-0.2186933495,-0.1689436295
180421,48113019047,All Jobs,All Jobs,-0.2910779706,-0.2347011233
181719,48121021100,All Jobs,All Jobs,-0.004651480600000001,-0.0712547859
183017,48121021729,All Jobs,All Jobs,0.37546997930000003,0.33215515840000004
184315,48257050602,All Jobs,All Jobs,-1.5460388298,-1.4567744324
185613,48257050701,All Jobs,All Jobs,-1.3211451271,-1.2394843
186911,48257050703,All Jobs,All Jobs,-1.7180594204,-1.6175552332
188209,48257050704,All Jobs,All Jobs,-1.578399141,-1.4711221408
189507,48439105706,All Jobs,All Jobs,-0.7837108502,-0.8151484532000001
190805,48439111024,All Jobs,All Jobs,-0.8462640749,-0.8998076473000001
192103,48439111558,All Jobs,All Jobs,0.44334974060000004,0.3533869314
193401,48439113121,All Jobs,All Jobs,0.6146961896,0.5744549925
194699,48439122002,All Jobs,All Jobs,0.35684126780000003,0.3509523104
195997,48439122100,All Jobs,All Jobs,0.2211439453,0.2058065023
197295,48085030541,All Jobs,All Jobs,0.0126151688,-0.0758225226
198593,48085030102,All Jobs,All Jobs,-1.5928812783000001,-1.4944460202
199891,48085030201,All Jobs,All Jobs,-1.2668141625,-1.2044322789
201189,48085030202,All Jobs,All Jobs,-1.3794724368,-1.3004122138
202487,48085030204,All Jobs,All Jobs,-1.3472680186,-1.2657244928
203785,48085030205,All Jobs,All Jobs,-1.1439558233,-1.1093711671
205083,48085030101,All Jobs,All Jobs,-1.5771710142000002,-1.4777764358
206381,48085030206,All Jobs,All Jobs,-1.1021543096,-1.0704882702
