tractid,frompre60,frompregravity,frompost60,frompostgravity,topre60,topregravity,topost60,topostgravity
36047051300,4078512.0,3340.4136832018394,4091420.0,3346.077499510462,2952797.0,2495.0194637898253,2956865.0,2501.5738713575665
36047040700,3387702.0,1602.357917650219,3701682.0,1791.8871069432732,2057351.0,1435.84993900081,2188713.0,1626.2231870450537
36047014300,3456134.0,1891.585145718992,3476860.0,1899.5292745355011,2254383.0,1543.9172377562472,2325266.0,1577.8738420577658
36047018400,2043762.0,872.8885425951955,2063541.0,884.3678985692839,716468.0,730.6632110059574,761486.0,750.4885183944161
36047029600,1760519.0,1027.4139023947994,2055404.0,1133.3612139502634,1189423.0,1286.2046967768804,1606638.0,1457.8673264910494
36047028300,3432895.0,1854.9537065747145,3461584.0,1866.3116647172612,2085657.0,1756.5434494356052,2049316.0,1744.3561991550218
36047076400,2913860.0,1286.1866592171978,3583592.0,1720.8209792370208,1573792.0,1378.174443740643,2339235.0,2116.2359576469707
36047015500,3656970.0,2116.9487187254945,3676037.0,2124.80379082351,2220132.0,1708.4151391798837,2295710.0,1736.1055063019392
36047021300,3544607.0,2126.08435978836,3660097.0,2167.40691321377,1949107.0,1626.1720235927612,2013901.0,1651.3279572121962
36047038100,3030503.0,1356.3763824149555,3301151.0,1477.4150259652806,1502862.0,1193.9198924757782,1731217.0,1320.505346015088
36047070600,253407.0,151.66003510012516,317293.0,172.91046260752236,784827.0,526.22139588755,1172210.0,670.8373516638244
36047114202,3144265.0,1368.2109981213912,3668999.0,1595.0877840486914,2121774.0,1394.9626205472578,2500717.0,1640.2653764592949
36047005601,1778272.0,758.1104031083876,1912670.0,804.4763112935166,945620.0,838.2033265710079,1200833.0,950.5074958665192
36047003600,2970654.0,1254.3262547553456,3186188.0,1350.0795745540336,1035509.0,848.3275980485123,1622498.0,1149.7475076604012
36047008000,3640130.0,2241.006078343526,3676782.0,2260.632500803541,2202336.0,1666.2345680178407,2301532.0,1711.0381678171116
36047093800,1701473.0,803.3573584536355,2172221.0,986.5307380496369,1424986.0,1347.9022577104795,2030444.0,1650.1098299390524
36047064800,1178643.0,699.0339501483606,1586907.0,869.1313874627538,1252338.0,1091.4391734820897,1747793.0,1317.7387898061213
36047025902,3295510.0,1818.654592336892,3293888.0,1818.1567574220871,2061037.0,1723.209433149887,2124247.0,1750.974050421344
36047034000,503804.0,365.8399519249389,543562.0,378.3110310526415,562054.0,499.26403152364713,636687.0,524.032577590375
36047086600,2270807.0,968.4962201024885,2588357.0,1108.3405344177709,1416194.0,1233.6762560488414,1948842.0,1491.9424879077312
36047110600,1415039.0,679.5649525575275,2346044.0,1022.0777191431944,1477704.0,1013.3911480086372,1739804.0,1126.972764545059
36047117601,2243576.0,1001.8430336329697,2864399.0,1229.4023006465395,1746405.0,1244.1055940797378,2291706.0,1481.1603423457416
