restractid,cat,wac
36005026500,WAC1-10,1763.0
36005026601,WAC1-10,1759.0
36005026602,WAC1-10,1789.0
36005026701,WAC1-10,653.0
36005026702,WAC1-10,472.0
36005026900,WAC1-10,408.0
36005027300,WAC1-10,453.0
36005027401,WAC1-10,387.0
36005027402,WAC1-10,136.0
36005027600,WAC1-10,26.0
36005027700,WAC1-10,2442.0
36005027900,WAC1-10,1325.0
36005028100,WAC1-10,990.0
36005028300,WAC1-10,2875.0
36005028400,WAC1-10,2135.0
36005028500,WAC1-10,1497.0
36005028600,WAC1-10,6081.0
36005028700,WAC1-10,2934.0
36005028800,WAC1-10,696.0
36005028900,WAC1-10,2627.0
36005029301,WAC1-10,700.0
36005029302,WAC1-10,967.0
36005029500,WAC1-10,1716.0
36005029600,WAC1-10,909.0
36005029700,WAC1-10,1891.0
36005030000,WAC1-10,802.0
36005030100,WAC1-10,1147.0
36005030200,WAC1-10,415.0
36005030701,WAC1-10,665.0
36005030900,WAC1-10,8.0
36005031000,WAC1-10,1538.0
36005031200,WAC1-10,732.0
36005031400,WAC1-10,493.0
36005031600,WAC1-10,470.0
36005031800,WAC1-10,480.0
36005031900,WAC1-10,1677.0
36005032300,WAC1-10,1257.0
36005032400,WAC1-10,1467.0
36005032600,WAC1-10,566.0
36005032800,WAC1-10,2429.0
36005033000,WAC1-10,2587.0
36005033201,WAC1-10,1966.0
36005033202,WAC1-10,2790.0
36005033400,WAC1-10,3051.0
36005033500,WAC1-10,1798.0
36005033600,WAC1-10,979.0
36005033700,WAC1-10,1792.0
36005033800,WAC1-10,1233.0
36005034000,WAC1-10,1522.0
36005034200,WAC1-10,1059.0
36005034300,WAC1-10,1159.0
36005034400,WAC1-10,702.0
36005034500,WAC1-10,401.0
36005034800,WAC1-10,292.0
36005035000,WAC1-10,371.0
36005035100,WAC1-10,1905.0
36005035600,WAC1-10,544.0
36005035800,WAC1-10,439.0
36005035900,WAC1-10,737.0
36005036000,WAC1-10,679.0
36005036100,WAC1-10,687.0
36005036300,WAC1-10,791.0
36005036400,WAC1-10,784.0
36005036501,WAC1-10,789.0
36005036502,WAC1-10,858.0
36005036700,WAC1-10,749.0
36005036800,WAC1-10,960.0
36005036901,WAC1-10,1245.0
36005036902,WAC1-10,1188.0
36005037000,WAC1-10,521.0
36005037100,WAC1-10,668.0
36005037200,WAC1-10,1199.0
36005037300,WAC1-10,3146.0
36005037400,WAC1-10,1167.0
36005037504,WAC1-10,1037.0
36005037600,WAC1-10,443.0
36005037800,WAC1-10,744.0
36005037900,WAC1-10,1140.0
36005038000,WAC1-10,1095.0
36005038100,WAC1-10,1399.0
36005038200,WAC1-10,756.0
36005038301,WAC1-10,1380.0
36005038302,WAC1-10,1550.0
36005038500,WAC1-10,4542.0
36005038600,WAC1-10,475.0
36005038700,WAC1-10,2344.0
36005038800,WAC1-10,224.0
36005038900,WAC1-10,2132.0
36005039000,WAC1-10,385.0
36005039100,WAC1-10,3963.0
36005039200,WAC1-10,664.0
36005039300,WAC1-10,691.0
36005039400,WAC1-10,663.0
36005039500,WAC1-10,1158.0
36005039600,WAC1-10,436.0
36005039700,WAC1-10,3517.0
36005039800,WAC1-10,264.0
36005039901,WAC1-10,3087.0
36005039902,WAC1-10,4479.0
36005040100,WAC1-10,7390.0
36005040302,WAC1-10,3112.0
36005040303,WAC1-10,938.0
36005040304,WAC1-10,3579.0
36005040400,WAC1-10,523.0
36005040501,WAC1-10,2960.0
36005040502,WAC1-10,373.0
36005040600,WAC1-10,1189.0
36005040701,WAC1-10,807.0
36005040702,WAC1-10,632.0
36005040800,WAC1-10,2948.0
36005040900,WAC1-10,762.0
36005041100,WAC1-10,832.0
36005041300,WAC1-10,898.0
36005041400,WAC1-10,1682.0
36005041500,WAC1-10,532.0
36005041800,WAC1-10,1488.0
36005041900,WAC1-10,13470.0
36005042000,WAC1-10,3572.0
36005042100,WAC1-10,13997.0
36005042200,WAC1-10,1222.0
36005042300,WAC1-10,848.0
36005042400,WAC1-10,361.0
36005042500,WAC1-10,953.0
36005042600,WAC1-10,376.0
36005042800,WAC1-10,266.0
36005042901,WAC1-10,987.0
36005042902,WAC1-10,820.0
36005043000,WAC1-10,529.0
36005043100,WAC1-10,12965.0
36005043400,WAC1-10,589.0
36005043500,WAC1-10,484.0
36005043600,WAC1-10,779.0
36005044200,WAC1-10,1620.0
36005044400,WAC1-10,680.0
36005044800,WAC1-10,394.0
36005044901,WAC1-10,230.0
36005044902,WAC1-10,848.0
36005045101,WAC1-10,631.0
36005045102,WAC1-10,1004.0
36005045600,WAC1-10,1465.0
36005045800,WAC1-10,231.0
36005046000,WAC1-10,409.0
36005046201,WAC1-10,1434.0
36005046202,WAC1-10,953.0
36005048400,WAC1-10,171.0
36005050400,WAC1-10,26.0
36005051600,WAC1-10,331.0
36047000100,WAC1-10,2385.0
36047000200,WAC1-10,4845.0
36047000301,WAC1-10,2750.0
36047000501,WAC1-10,5576.0
36047000502,WAC1-10,11772.0
36047000700,WAC1-10,20427.0
36047000900,WAC1-10,22944.0
36047001100,WAC1-10,26267.0
36047001300,WAC1-10,2843.0
36047001500,WAC1-10,8508.0
36047001800,WAC1-10,2924.0
36047002000,WAC1-10,5259.0
36047002100,WAC1-10,9408.0
36047002200,WAC1-10,9401.0
36047002300,WAC1-10,1811.0
36047002901,WAC1-10,1472.0
36047003000,WAC1-10,715.0
36047003100,WAC1-10,10796.0
36047003300,WAC1-10,20071.0
36047003400,WAC1-10,728.0
36047003500,WAC1-10,13817.0
36047003600,WAC1-10,1269.0
36047003700,WAC1-10,20257.0
36047003800,WAC1-10,692.0
36047003900,WAC1-10,16753.0
36047004100,WAC1-10,11442.0
36047004300,WAC1-10,14235.0
36047004400,WAC1-10,336.0
36047004500,WAC1-10,9011.0
36047004600,WAC1-10,1185.0
36047004700,WAC1-10,1712.0
36047004900,WAC1-10,2119.0
36047005000,WAC1-10,793.0
36047005100,WAC1-10,1432.0
36047005201,WAC1-10,488.0
36047005202,WAC1-10,836.0
36047005300,WAC1-10,3013.0
36047005400,WAC1-10,1174.0
36047005601,WAC1-10,1471.0
36047005602,WAC1-10,975.0
36047005800,WAC1-10,2233.0
36047005900,WAC1-10,2142.0
36047006000,WAC1-10,3441.0
36047006200,WAC1-10,2520.0
36047006300,WAC1-10,1645.0
36047006400,WAC1-10,1591.0
36047006500,WAC1-10,1553.0
36047006600,WAC1-10,1986.0
36047006700,WAC1-10,2254.0
36047006800,WAC1-10,1992.0
36047006900,WAC1-10,8116.0
36047007000,WAC1-10,1060.0
36047007100,WAC1-10,1916.0
36047007200,WAC1-10,1714.0
36047007400,WAC1-10,1919.0
36047007500,WAC1-10,2326.0
36047007600,WAC1-10,3254.0
36047007700,WAC1-10,1919.0
36047007800,WAC1-10,3889.0
36047008000,WAC1-10,2820.0
36047008200,WAC1-10,3217.0
36047008400,WAC1-10,4817.0
36047008500,WAC1-10,1907.0
36047008600,WAC1-10,1775.0
36047008800,WAC1-10,1077.0
36047009000,WAC1-10,1381.0
36047009200,WAC1-10,1577.0
36047009400,WAC1-10,10487.0
36047009600,WAC1-10,1774.0
36047009800,WAC1-10,1696.0
36047010000,WAC1-10,1675.0
36047010100,WAC1-10,2365.0
36047010200,WAC1-10,2830.0
36047010400,WAC1-10,5603.0
36047010600,WAC1-10,3475.0
36047010800,WAC1-10,9144.0
36047011000,WAC1-10,2562.0
36047011200,WAC1-10,12029.0
36047011400,WAC1-10,11933.0
36047011600,WAC1-10,3100.0
36047011700,WAC1-10,1949.0
36047011800,WAC1-10,5620.0
36047011900,WAC1-10,4390.0
36047012000,WAC1-10,4992.0
36047012100,WAC1-10,3761.0
36047012200,WAC1-10,1674.0
36047012600,WAC1-10,1532.0
36047012700,WAC1-10,2761.0
36047012801,WAC1-10,2115.0
36047012901,WAC1-10,7070.0
36047012902,WAC1-10,6985.0
36047013000,WAC1-10,1902.0
36047013100,WAC1-10,3747.0
36047013200,WAC1-10,1385.0
36047013300,WAC1-10,3437.0
36047013400,WAC1-10,2423.0
36047013500,WAC1-10,3133.0
36047013600,WAC1-10,2058.0
36047013700,WAC1-10,3314.0
36047013800,WAC1-10,2715.0
36047013900,WAC1-10,3290.0
36047014000,WAC1-10,736.0
36047014100,WAC1-10,2068.0
36047014200,WAC1-10,1891.0
36047014300,WAC1-10,2569.0
36047014500,WAC1-10,2521.0
36047014700,WAC1-10,1556.0
36047014800,WAC1-10,543.0
36047014900,WAC1-10,2283.0
36047015000,WAC1-10,754.0
36047015100,WAC1-10,8362.0
36047015200,WAC1-10,1188.0
36047015300,WAC1-10,8613.0
36047015400,WAC1-10,106.0
36047015500,WAC1-10,8285.0
36047015700,WAC1-10,3095.0
36047015900,WAC1-10,4899.0
36047016000,WAC1-10,3502.0
36047016100,WAC1-10,4554.0
36047016200,WAC1-10,870.0
36047016300,WAC1-10,4062.0
36047016400,WAC1-10,537.0
36047016500,WAC1-10,3981.0
36047016600,WAC1-10,345.0
36047016700,WAC1-10,7569.0
36047016800,WAC1-10,179.0
36047016900,WAC1-10,1771.0
36047017000,WAC1-10,602.0
36047017100,WAC1-10,667.0
36047017200,WAC1-10,934.0
36047017400,WAC1-10,726.0
36047017500,WAC1-10,2722.0
36047017600,WAC1-10,1333.0
36047017700,WAC1-10,768.0
36047017800,WAC1-10,2389.0
36047017900,WAC1-10,2652.0
36047018000,WAC1-10,1423.0
36047018100,WAC1-10,6057.0
36047018200,WAC1-10,2675.0
36047018300,WAC1-10,1604.0
